Season,Episode,Title,Description,AirDate,Rating,Voters
4,14,A Slight at the Opera,"Cam is left without a lead on the first school performance of ""Phantom of the Opera,"" Phil and Mitchell play golf with Jay, and Haley and her boyfriend help Claire take care of the baby.",6 Feb. 2013,7.5,"(1,824)"
4,15,Heart Broken,"Phil and Claire's Valentine's plans land Claire in the emergency room, Jay and Gloria try to be intimate for the first time after the baby, and Mitchell has a wild Valentine's night after drinking and blacking out at his party.",13 Feb. 2013,7.7,"(1,793)"
4,16,Bad Hair Day,"Claire runs into an old lover at her college reunion, a mishap causes Cam to give the baby a disastrous haircut, and Jay has to put his bowling match on hold to build up Manny's confidence.",20 Feb. 2013,7.3,"(1,790)"
4,17,Best Men,"Mitchell and Cameron are co-best men for a friend's wedding, but the bride has cold feet. Meanwhile, Manny has a crush on the nanny, Phil helps Luke get a date, and Claire and Haley go together to Alex's concert.",27 Feb. 2013,8.0,"(1,910)"
4,18,The Wow Factor,"Claire and Cam clash over a fountain as they try to flip a house, Mitchell confronts a playground bully, Jay spends the day alone with Joe, and Phil tries to teach the girls about home repairs.",27 Mar. 2013,7.6,"(1,781)"
4,19,The Future Dunphys,"Phil and Claire get a possible glimpse at their future children, Gloria helps Lily get in touch with her Vietnamese heritage, and Jay tries to help Manny get into a prestigious prep school.",3 Apr. 2013,7.8,"(1,870)"
4,20,Flip Flop,"Phil pulls out all the stops to flip Cameron and Claire's house and avoid embarrassment from a rival realtor, and Gloria is jealous of Manny's. relationship with her ex-husband Javier's new girlfriend.",10 Apr. 2013,7.7,"(1,778)"
4,21,Career Day,"Phil's rival, Gil Thorpe, offers Claire a job, Lily gets a extra-generous gift from the Tooth Fairy, and Jay decides to begin working on his novel.",1 May 2013,7.5,"(1,732)"
4,22,My Hero,"Cam is jealous of Mitchell's ex-boyfriend, Claire tries to avoid her dad's job offer, Manny has to write an essay about his hero, Phil tries to teach Gloria to skate, and Hayley tries to help Alex flirt with boys.",8 May 2013,7.8,"(1,792)"
4,23,Games People Play,"The Dunphys take an RV trip together, Mitchell and Cam become over-competitive at Lily's gymnastics meet, and Jay and Gloria are upset that they weren't invited to a party.",15 May 2013,7.7,"(1,734)"
4,24,Goodnight Gracie,"The family goes to Florida for Phil's mother's funeral. Phil has to honor his mom's odd last request, Jay sees a familiar face, Mitchell defends Gloria in court, and Cameron makes some new friends.",22 May 2013,8.2,"(2,006)"
5,1,"Suddenly, Last Summer","Mitchell and Cam go behind each other's backs to set up the perfect marriage proposal, Gloria is sad about sending Manny to Colombia, and Phil and Claire try to arrange the kids' vacations to maximize their ""alone time.""",25 Sep. 2013,8.0,"(2,064)"
5,2,First Days,"Manny and Luke have their first day of high school, Cam works as a substitute social studies teacher, Claire begins her new job working for her dad, and Mitchell's boss hits on Haley.",25 Sep. 2013,7.7,"(1,880)"
5,3,Larry's Wife,"Mitchell leaves the wedding plans to Cam, who is busy preparing a cat funeral for Lily. Meanwhile, Phil tries to cater his real estate business to divorced women, and Gloria thinks her baby may be cursed.",2 Oct. 2013,7.5,"(1,795)"
5,4,Farm Strong,"Cam's sister comes to town with good news, Phil and Claire agree to skip Luke's soccer game, Gloria refuses to admit she needs glasses, and Alex thinks Jay is cheating at Words With Friends.",9 Oct. 2013,7.7,"(1,794)"
5,5,The Late Show,"Jay pulled a lot of strings to get reservations at the hottest new restaurant for a family adult's night out. Unfortunately, in each household everyone is running late.",16 Oct. 2013,8.0,"(1,956)"
5,6,The Help,"Phil tries to get dad back in the dating scene, Jay does not like Gloria's new choice for a nanny, and Mitchell and Cameron are not impressed with their old friend Pepper's plans for their wedding.",23 Oct. 2013,7.6,"(1,817)"
5,7,A Fair to Remember,"At a local fair, Phil tries to surprise Claire with an anniversary gift, Jay works as a ""police officer,"" Manny enters a cake baking contest, Luke confronts a crush, and Cameron tries to rally the football team.",13 Nov. 2013,7.8,"(1,919)"
5,8,ClosetCon '13,"Claire joins Jay at a closet convention; Cam, Mitchell and Lily visit Cam's childhood Missouri farm, Phil breaks Jay's priceless Apollo 13 model, and Hayley and Alex fight over the pizza delivery guy.",20 Nov. 2013,7.6,"(1,798)"
5,9,The Big Game,"Cam tries to break a school record as freshman football coach, Phil is on the verge of his first month without selling a house, Claire still struggles with being the boss's daughter, and Mitchell tries to let his boss down easily.",4 Dec. 2013,7.5,"(1,729)"
5,10,The Old Man & the Tree,"Luke helps Phil try to reach Canada on his elliptical machine, Jay and Manny try to get a Christmas tree in the wild, Gloria is jealous of Claire and her mom, and a mix-up lands Cam and Lily with the homeless at Christmas.",11 Dec. 2013,7.8,"(1,783)"
5,11,And One to Grow On,"Phil tricks Luke into taking a dance class, but the joke is on him when the white lie indirectly lands him in the slammer. Meanwhile, Jay and Gloria throw a birthday party for Manny and Joe but are worried that Manny might be hitting on girls who are way out of his league. And Mitch and Cam are having more problems with planning their wedding when they get a rude awakening in the cutthroat world of booking a wedding venue.",8 Jan. 2014,7.5,"(1,721)"
5,12,Under Pressure,"The parents go to open house at school, Alex goes see a therapist, Manny and Luke have a double date with twins, and Mitchell doesn't feel like he's ""green"" enough after speaking to his neighbor.",15 Jan. 2014,8.4,"(2,165)"
5,13,Three Dinners,"Phil and Claire take Hayley to dinner to discuss her future, Shorty tells Jay that he and his wife are moving to Costa Rica, and Mitchell and Cam unknowingly interrupt a couple's surprise engagement dinner.",22 Jan. 2014,8.0,"(1,856)"
5,14,iSpy,"Gloria is suspicious of Jay after he says ""baby"" in a dream, Phil and Claire spy on Haley, Luke and Manny, and Mitchell is reluctant to share some juicy gossip with Cameron.",5 Feb. 2014,7.9,"(1,791)"
5,15,The Feud,"The feud between Phil and Gil Thorpe reaches a new level, a lice outbreak hits the family, Haley and Alex are trapped in the basement by a possum, and Manny and Gloria are embarrassed during a school field trip.",26 Feb. 2014,7.6,"(1,758)"
5,16,Spring-A-Ding-Fling,"A returning teacher steals Cam's thunder at the school dance he organized, Mitchell discovers that his new boss is evil, Hayley goes with Phil to an awards show, and Jay and Gloria try to get Lily to confess.",5 Mar. 2014,7.6,"(1,730)"
5,17,Other People's Children,"Gloria and Claire take Lily dress shopping, Jay teaches woodworking to Luke, Cameron tries to get out of a museum trip, and Phil helps Andy make a video for his girlfriend--which Hayley thinks is lame.",12 Mar. 2014,7.8,"(1,733)"
5,18,Vegas,"On a trip to Las Vegas, Jay wheels and deals to get a better room, Claire tries to win back the money she lost last year, Phil tries to get into a magician's club, and Cameron chooses a bachelor party over a spa day with Mitchell.",26 Mar. 2014,9.1,"(3,809)"
5,19,A Hard Jay's Night,Jay's plans to host a family evening are derailed when Phil gets in trouble trying to sell Gloria's old apartment and Mitchell doesn't approve of the wedding topper Cameron's father made.,2 Apr. 2014,7.7,"(1,725)"
5,20,Australia,The family joins Phil in Australia as he fulfills his late mother's wishes to discover where his parents had their honeymoon.,23 Apr. 2014,8.0,"(1,909)"
5,21,Sleeper,"Phil has to tell an elaborate lie to Claire when he messes up a household task. Gloria is put in charge of the family portrait, and Jay enters Stella in a dog show.",30 Apr. 2014,7.5,"(1,669)"
5,22,Message Received,"Mitchell and Cameron have to sell a few prized possessions to afford their wedding. Phil and Claire are the victims of a practical joke pulled off by their kids. Jay, Gloria and Manny are each forced to confront a fear.",7 May 2014,8.2,"(1,775)"
5,23,"The Wedding, Part 1","Preparations for Mitchell and Cameron's wedding become a logistical nightmare, especially when a wildfire pushes the wedding time four hours ahead of schedule.",14 May 2014,8.1,"(1,825)"
5,24,"The Wedding, Part 2",A series of mishaps and unruly guests threaten to undermine Mitchell and Camerson's wedding.,21 May 2014,8.6,"(2,175)"
6,1,The Long Honeymoon,Cameron isn't ready to conclude his honeymoon with Mitchell after their wedding. Gloria takes Jay to task over his appearance. The Dunphys must ready themselves for the return to school.,24 Sep. 2014,7.9,"(1,972)"
6,2,Don't Push,"Phil, Luke, and Haley cause nothing but aggravation for Alex when they tag along on her tour of Caltech. Jay and Gloria have trouble finding the perfect gifts for their anniversary.",1 Oct. 2014,7.9,"(1,861)"
6,3,The Cold,"The Dunphys are down with a cold, thanks to Phil. Jay and Gloria try to help Manny deal with playing football, and Cameron doesn't know how much playtime to give him. Mitchell debates with Lily's new friend, Sydney.",8 Oct. 2014,7.8,"(1,776)"
6,4,Marco Polo,"Things become tense when the Dunphys temporarily move into a hotel, Gloria is suspicious of Manny's new girlfriend, and Mitchell discovers that he has jinxed Cameron's football team.",15 Oct. 2014,7.8,"(1,786)"
6,5,Won't You Be Our Neighbor,"The Dunphys try to persuade the perfect couple to move in next door, Manny dates the daughter of Jay's biggest nemesis, and Mitchell and Cameron try to get Lily a new teacher.",22 Oct. 2014,7.8,"(1,777)"
6,6,Halloween 3: AwesomeLand,Phil takes over Halloween decorating duties from Claire. Jay is upset when he wants to dress up as Prince Charming but Gloria buys him a Shrek costume. Mitchell has a problem in court with the stenographer working in a scary costume.,29 Oct. 2014,7.5,"(1,746)"
